method,input_dim,scheme,threshold_ratio,ratio_val_acc,adc_bits,weight_bits,timesteps,val_acc,test_acc
bilinear_8x8,64,B,0.3,0.848,6,2,1,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,3,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,5,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,10,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,2,20,0.767,0.7723
bilinear_8x8,64,B,0.3,0.848,6,3,1,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,3,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,5,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,10,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,3,20,0.7812,0.7957
bilinear_8x8,64,B,0.3,0.848,6,4,1,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,3,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,5,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,10,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,4,20,0.812,0.824
bilinear_8x8,64,B,0.3,0.848,6,6,1,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,3,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,5,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,10,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,6,20,0.806,0.8229
bilinear_8x8,64,B,0.3,0.848,6,8,1,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,3,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,5,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,10,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,6,8,20,0.8074,0.8233
bilinear_8x8,64,B,0.3,0.848,8,2,1,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,3,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,5,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,10,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,2,20,0.7688,0.7738
bilinear_8x8,64,B,0.3,0.848,8,3,1,0.7828,0.7979
bilinear_8x8,64,B,0.3,0.848,8,3,3,0.7828,0.7979
bilinear_8x8,64,B,0.3,0.848,8,3,5,0.7828,0.7979
bilinear_8x8,64,B,0.3,0.848,8,3,10,0.7828,0.7979
bilinear_8x8,64,B,0.3,0.848,8,3,20,0.7828,0.7979
bilinear_8x8,64,B,0.3,0.848,8,4,1,0.8142,0.8258
bilinear_8x8,64,B,0.3,0.848,8,4,3,0.8142,0.8258
bilinear_8x8,64,B,0.3,0.848,8,4,5,0.8142,0.8258
bilinear_8x8,64,B,0.3,0.848,8,4,10,0.8142,0.8258
bilinear_8x8,64,B,0.3,0.848,8,4,20,0.8142,0.8258
bilinear_8x8,64,B,0.3,0.848,8,6,1,0.8082,0.8214
bilinear_8x8,64,B,0.3,0.848,8,6,3,0.8082,0.8214
bilinear_8x8,64,B,0.3,0.848,8,6,5,0.8082,0.8214
bilinear_8x8,64,B,0.3,0.848,8,6,10,0.8082,0.8214
bilinear_8x8,64,B,0.3,0.848,8,6,20,0.8082,0.8214
bilinear_8x8,64,B,0.3,0.848,8,8,1,0.8084,0.8227
bilinear_8x8,64,B,0.3,0.848,8,8,3,0.8084,0.8227
bilinear_8x8,64,B,0.3,0.848,8,8,5,0.8084,0.8227
bilinear_8x8,64,B,0.3,0.848,8,8,10,0.8084,0.8227
bilinear_8x8,64,B,0.3,0.848,8,8,20,0.8084,0.8227
bilinear_8x8,64,B,0.3,0.848,10,2,1,0.7682,0.7735
bilinear_8x8,64,B,0.3,0.848,10,2,3,0.7682,0.7735
bilinear_8x8,64,B,0.3,0.848,10,2,5,0.7682,0.7735
bilinear_8x8,64,B,0.3,0.848,10,2,10,0.7682,0.7735
bilinear_8x8,64,B,0.3,0.848,10,2,20,0.7682,0.7735
bilinear_8x8,64,B,0.3,0.848,10,3,1,0.7836,0.798
bilinear_8x8,64,B,0.3,0.848,10,3,3,0.7836,0.798
bilinear_8x8,64,B,0.3,0.848,10,3,5,0.7836,0.798
bilinear_8x8,64,B,0.3,0.848,10,3,10,0.7836,0.798
bilinear_8x8,64,B,0.3,0.848,10,3,20,0.7836,0.798
bilinear_8x8,64,B,0.3,0.848,10,4,1,0.8146,0.8256
bilinear_8x8,64,B,0.3,0.848,10,4,3,0.8146,0.8256
bilinear_8x8,64,B,0.3,0.848,10,4,5,0.8146,0.8256
bilinear_8x8,64,B,0.3,0.848,10,4,10,0.8146,0.8256
bilinear_8x8,64,B,0.3,0.848,10,4,20,0.8146,0.8256
bilinear_8x8,64,B,0.3,0.848,10,6,1,0.8078,0.8209
bilinear_8x8,64,B,0.3,0.848,10,6,3,0.8078,0.8209
bilinear_8x8,64,B,0.3,0.848,10,6,5,0.8078,0.8209
bilinear_8x8,64,B,0.3,0.848,10,6,10,0.8078,0.8209
bilinear_8x8,64,B,0.3,0.848,10,6,20,0.8078,0.8209
bilinear_8x8,64,B,0.3,0.848,10,8,1,0.8086,0.8231
bilinear_8x8,64,B,0.3,0.848,10,8,3,0.8086,0.8231
bilinear_8x8,64,B,0.3,0.848,10,8,5,0.8086,0.8231
bilinear_8x8,64,B,0.3,0.848,10,8,10,0.8086,0.8231
bilinear_8x8,64,B,0.3,0.848,10,8,20,0.8086,0.8231
bilinear_8x8,64,B,0.3,0.848,12,2,1,0.7684,0.7736
bilinear_8x8,64,B,0.3,0.848,12,2,3,0.7684,0.7736
bilinear_8x8,64,B,0.3,0.848,12,2,5,0.7684,0.7736
bilinear_8x8,64,B,0.3,0.848,12,2,10,0.7684,0.7736
bilinear_8x8,64,B,0.3,0.848,12,2,20,0.7684,0.7736
bilinear_8x8,64,B,0.3,0.848,12,3,1,0.783,0.798
bilinear_8x8,64,B,0.3,0.848,12,3,3,0.783,0.798
bilinear_8x8,64,B,0.3,0.848,12,3,5,0.783,0.798
bilinear_8x8,64,B,0.3,0.848,12,3,10,0.783,0.798
bilinear_8x8,64,B,0.3,0.848,12,3,20,0.783,0.798
bilinear_8x8,64,B,0.3,0.848,12,4,1,0.8142,0.8254
bilinear_8x8,64,B,0.3,0.848,12,4,3,0.8142,0.8254
bilinear_8x8,64,B,0.3,0.848,12,4,5,0.8142,0.8254
bilinear_8x8,64,B,0.3,0.848,12,4,10,0.8142,0.8254
bilinear_8x8,64,B,0.3,0.848,12,4,20,0.8142,0.8254
bilinear_8x8,64,B,0.3,0.848,12,6,1,0.8084,0.8208
bilinear_8x8,64,B,0.3,0.848,12,6,3,0.8084,0.8208
bilinear_8x8,64,B,0.3,0.848,12,6,5,0.8084,0.8208
bilinear_8x8,64,B,0.3,0.848,12,6,10,0.8084,0.8208
bilinear_8x8,64,B,0.3,0.848,12,6,20,0.8084,0.8208
bilinear_8x8,64,B,0.3,0.848,12,8,1,0.809,0.8227
bilinear_8x8,64,B,0.3,0.848,12,8,3,0.809,0.8227
bilinear_8x8,64,B,0.3,0.848,12,8,5,0.809,0.8227
bilinear_8x8,64,B,0.3,0.848,12,8,10,0.809,0.8227
bilinear_8x8,64,B,0.3,0.848,12,8,20,0.809,0.8227
nearest_8x8,64,B,0.3,0.847,6,2,1,0.7262,0.7398
nearest_8x8,64,B,0.3,0.847,6,2,3,0.7262,0.7398
nearest_8x8,64,B,0.3,0.847,6,2,5,0.7262,0.7398
nearest_8x8,64,B,0.3,0.847,6,2,10,0.7262,0.7398
nearest_8x8,64,B,0.3,0.847,6,2,20,0.7262,0.7398
nearest_8x8,64,B,0.3,0.847,6,3,1,0.7702,0.776
nearest_8x8,64,B,0.3,0.847,6,3,3,0.7702,0.776
nearest_8x8,64,B,0.3,0.847,6,3,5,0.7702,0.776
nearest_8x8,64,B,0.3,0.847,6,3,10,0.7702,0.776
nearest_8x8,64,B,0.3,0.847,6,3,20,0.7702,0.776
nearest_8x8,64,B,0.3,0.847,6,4,1,0.7966,0.8022
nearest_8x8,64,B,0.3,0.847,6,4,3,0.7966,0.8022
nearest_8x8,64,B,0.3,0.847,6,4,5,0.7966,0.8022
nearest_8x8,64,B,0.3,0.847,6,4,10,0.7966,0.8022
nearest_8x8,64,B,0.3,0.847,6,4,20,0.7966,0.8022
nearest_8x8,64,B,0.3,0.847,6,6,1,0.7902,0.7974
nearest_8x8,64,B,0.3,0.847,6,6,3,0.7902,0.7974
nearest_8x8,64,B,0.3,0.847,6,6,5,0.7902,0.7974
nearest_8x8,64,B,0.3,0.847,6,6,10,0.7902,0.7974
nearest_8x8,64,B,0.3,0.847,6,6,20,0.7902,0.7974
nearest_8x8,64,B,0.3,0.847,6,8,1,0.7904,0.7999
nearest_8x8,64,B,0.3,0.847,6,8,3,0.7904,0.7999
nearest_8x8,64,B,0.3,0.847,6,8,5,0.7904,0.7999
nearest_8x8,64,B,0.3,0.847,6,8,10,0.7904,0.7999
nearest_8x8,64,B,0.3,0.847,6,8,20,0.7904,0.7999
nearest_8x8,64,B,0.3,0.847,8,2,1,0.7294,0.7449
nearest_8x8,64,B,0.3,0.847,8,2,3,0.7294,0.7449
nearest_8x8,64,B,0.3,0.847,8,2,5,0.7294,0.7449
nearest_8x8,64,B,0.3,0.847,8,2,10,0.7294,0.7449
nearest_8x8,64,B,0.3,0.847,8,2,20,0.7294,0.7449
nearest_8x8,64,B,0.3,0.847,8,3,1,0.7716,0.7791
nearest_8x8,64,B,0.3,0.847,8,3,3,0.7716,0.7791
nearest_8x8,64,B,0.3,0.847,8,3,5,0.7716,0.7791
nearest_8x8,64,B,0.3,0.847,8,3,10,0.7716,0.7791
nearest_8x8,64,B,0.3,0.847,8,3,20,0.7716,0.7791
nearest_8x8,64,B,0.3,0.847,8,4,1,0.7944,0.8024
nearest_8x8,64,B,0.3,0.847,8,4,3,0.7944,0.8024
nearest_8x8,64,B,0.3,0.847,8,4,5,0.7944,0.8024
nearest_8x8,64,B,0.3,0.847,8,4,10,0.7944,0.8024
nearest_8x8,64,B,0.3,0.847,8,4,20,0.7944,0.8024
nearest_8x8,64,B,0.3,0.847,8,6,1,0.7902,0.7985
nearest_8x8,64,B,0.3,0.847,8,6,3,0.7902,0.7985
nearest_8x8,64,B,0.3,0.847,8,6,5,0.7902,0.7985
nearest_8x8,64,B,0.3,0.847,8,6,10,0.7902,0.7985
nearest_8x8,64,B,0.3,0.847,8,6,20,0.7902,0.7985
nearest_8x8,64,B,0.3,0.847,8,8,1,0.7912,0.8003
nearest_8x8,64,B,0.3,0.847,8,8,3,0.7912,0.8003
nearest_8x8,64,B,0.3,0.847,8,8,5,0.7912,0.8003
nearest_8x8,64,B,0.3,0.847,8,8,10,0.7912,0.8003
nearest_8x8,64,B,0.3,0.847,8,8,20,0.7912,0.8003
nearest_8x8,64,B,0.3,0.847,10,2,1,0.7292,0.7445
nearest_8x8,64,B,0.3,0.847,10,2,3,0.7292,0.7445
nearest_8x8,64,B,0.3,0.847,10,2,5,0.7292,0.7445
nearest_8x8,64,B,0.3,0.847,10,2,10,0.7292,0.7445
nearest_8x8,64,B,0.3,0.847,10,2,20,0.7292,0.7445
nearest_8x8,64,B,0.3,0.847,10,3,1,0.7714,0.7783
nearest_8x8,64,B,0.3,0.847,10,3,3,0.7714,0.7783
nearest_8x8,64,B,0.3,0.847,10,3,5,0.7714,0.7783
nearest_8x8,64,B,0.3,0.847,10,3,10,0.7714,0.7783
nearest_8x8,64,B,0.3,0.847,10,3,20,0.7714,0.7783
nearest_8x8,64,B,0.3,0.847,10,4,1,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,10,4,3,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,10,4,5,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,10,4,10,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,10,4,20,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,10,6,1,0.7908,0.7986
nearest_8x8,64,B,0.3,0.847,10,6,3,0.7908,0.7986
nearest_8x8,64,B,0.3,0.847,10,6,5,0.7908,0.7986
nearest_8x8,64,B,0.3,0.847,10,6,10,0.7908,0.7986
nearest_8x8,64,B,0.3,0.847,10,6,20,0.7908,0.7986
nearest_8x8,64,B,0.3,0.847,10,8,1,0.7924,0.8003
nearest_8x8,64,B,0.3,0.847,10,8,3,0.7924,0.8003
nearest_8x8,64,B,0.3,0.847,10,8,5,0.7924,0.8003
nearest_8x8,64,B,0.3,0.847,10,8,10,0.7924,0.8003
nearest_8x8,64,B,0.3,0.847,10,8,20,0.7924,0.8003
nearest_8x8,64,B,0.3,0.847,12,2,1,0.7288,0.7449
nearest_8x8,64,B,0.3,0.847,12,2,3,0.7288,0.7449
nearest_8x8,64,B,0.3,0.847,12,2,5,0.7288,0.7449
nearest_8x8,64,B,0.3,0.847,12,2,10,0.7288,0.7449
nearest_8x8,64,B,0.3,0.847,12,2,20,0.7288,0.7449
nearest_8x8,64,B,0.3,0.847,12,3,1,0.7718,0.7788
nearest_8x8,64,B,0.3,0.847,12,3,3,0.7718,0.7788
nearest_8x8,64,B,0.3,0.847,12,3,5,0.7718,0.7788
nearest_8x8,64,B,0.3,0.847,12,3,10,0.7718,0.7788
nearest_8x8,64,B,0.3,0.847,12,3,20,0.7718,0.7788
nearest_8x8,64,B,0.3,0.847,12,4,1,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,12,4,3,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,12,4,5,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,12,4,10,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,12,4,20,0.7958,0.8024
nearest_8x8,64,B,0.3,0.847,12,6,1,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,3,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,5,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,10,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,6,20,0.7908,0.7987
nearest_8x8,64,B,0.3,0.847,12,8,1,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,3,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,5,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,10,0.7926,0.8001
nearest_8x8,64,B,0.3,0.847,12,8,20,0.7926,0.8001
avgpool_8x8,64,B,0.3,0.9015,6,2,1,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,3,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,5,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,10,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,2,20,0.8456,0.855
avgpool_8x8,64,B,0.3,0.9015,6,3,1,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,3,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,5,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,10,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,3,20,0.862,0.8699
avgpool_8x8,64,B,0.3,0.9015,6,4,1,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,3,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,5,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,10,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,4,20,0.8676,0.8765
avgpool_8x8,64,B,0.3,0.9015,6,6,1,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,3,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,5,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,10,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,6,20,0.8702,0.8785
avgpool_8x8,64,B,0.3,0.9015,6,8,1,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,3,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,5,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,10,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,6,8,20,0.8694,0.8789
avgpool_8x8,64,B,0.3,0.9015,8,2,1,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,3,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,5,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,10,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,2,20,0.848,0.8574
avgpool_8x8,64,B,0.3,0.9015,8,3,1,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,3,3,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,3,5,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,3,10,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,3,20,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,4,1,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,3,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,5,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,10,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,20,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,6,1,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,3,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,5,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,10,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,20,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,8,1,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,3,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,5,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,10,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,20,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,10,2,1,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,3,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,5,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,10,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,20,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,3,1,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,3,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,5,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,10,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,20,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,4,1,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,3,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,5,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,10,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,20,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,6,1,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,3,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,5,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,10,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,20,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,8,1,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,3,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,5,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,10,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,20,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,12,2,1,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,3,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,5,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,10,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,20,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,3,1,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,3,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,5,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,10,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,20,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,4,1,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,3,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,5,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,10,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,20,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,6,1,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,3,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,5,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,10,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,20,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,8,1,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,3,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,5,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,10,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,20,0.8684,0.8815
maxpool_8x8,64,B,0.3,0.873,6,2,1,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,3,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,5,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,10,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,20,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,3,1,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,3,3,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,3,5,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,3,10,0.8204,0.834
